graph,tags,nodes,edges,algorithm,crossings,mean_edge_length,edge_length_var,path_continuity,runtime_s,status
fullerene_structures/C60,"[""Biological"", ""Chemical"", ""Spatial"", ""Unweighted""]",60,90,baseline,22,0.15371631147829262,0.0007911607811683294,63.449001469053904,0.05,ok
fullerene_structures/C60,"[""Biological"", ""Chemical"", ""Spatial"", ""Unweighted""]",60,90,"edge_relaxation(kr=0.1,kw=0.05)",18,0.15066699790166607,0.009207086148074762,63.25804817659219,1.15,ok
game_thrones,"[""Fictional"", ""Social"", ""Weighted""]",107,352,baseline,2211,0.09534771911146848,0.00213378152078559,46.03913685622769,0.04,ok
game_thrones,"[""Fictional"", ""Social"", ""Weighted""]",107,352,"edge_relaxation(kr=0.1,kw=0.05)",1824,0.08422036441801828,0.0026057002204131065,47.08373655146686,10.89,ok
interactome_pdz,"[""Biological"", ""Protein interactions"", ""Unweighted""]",161,209,baseline,91,0.0677151391504713,0.000978068525220154,47.876860024972544,0.11,ok
interactome_pdz,"[""Biological"", ""Protein interactions"", ""Unweighted""]",161,209,"edge_relaxation(kr=0.1,kw=0.05)",75,0.05763962525895921,0.0024022469289265154,52.99427004810039,5.81,ok
kangaroo,"[""Animal"", ""Social"", ""Weighted""]",17,91,baseline,478,0.23666945066930078,0.008242882635470782,35.46628041114582,0.0,ok
kangaroo,"[""Animal"", ""Social"", ""Weighted""]",17,91,"edge_relaxation(kr=0.1,kw=0.05)",430,0.1481647678751241,0.007890688065916987,20.733327145354146,0.99,ok
karate/77,"[""Offline"", ""Social"", ""Unweighted""]",34,77,baseline,71,0.15267651884876882,0.00297168839079679,37.54571320608752,0.01,ok
karate/77,"[""Offline"", ""Social"", ""Unweighted""]",34,77,"edge_relaxation(kr=0.1,kw=0.05)",52,0.1390702403593426,0.00691185813474448,37.09929032040628,0.74,ok
karate/78,"[""Offline"", ""Social"", ""Unweighted""]",34,78,baseline,66,0.1613900294220129,0.0033551329461500223,37.12258717667826,0.01,ok
karate/78,"[""Offline"", ""Social"", ""Unweighted""]",34,78,"edge_relaxation(kr=0.1,kw=0.05)",57,0.15351215319898834,0.007840883083229831,39.055273342221405,0.76,ok
lesmis,"[""Fictional"", ""Social"", ""Weighted""]",77,254,baseline,744,0.10816478197187164,0.0035471118685332045,45.27124256996188,0.02,ok
lesmis,"[""Fictional"", ""Social"", ""Weighted""]",77,254,"edge_relaxation(kr=0.1,kw=0.05)",697,0.07076911176772521,0.0027911627100959415,45.17344840330822,5.7,ok
london_transport,"[""Multilayer"", ""Public Transport"", ""Transportation"", ""Weighted""]",369,430,baseline,64,0.02841921239256675,7.853143680175096e-05,41.01101854791113,0.49,ok
london_transport,"[""Multilayer"", ""Public Transport"", ""Transportation"", ""Weighted""]",369,430,"edge_relaxation(kr=0.1,kw=0.05)",31,0.027869080850441902,0.0003272957208168086,41.588718569405856,48.97,ok
macaque_neural,"[""Biological"", ""Connectome"", ""Unweighted""]",47,313,baseline,2649,0.1974074845617427,0.006212046585077139,37.25227377954697,0.01,ok
macaque_neural,"[""Biological"", ""Connectome"", ""Unweighted""]",47,313,"edge_relaxation(kr=0.1,kw=0.05)",2594,0.17387944410778616,0.005975759905858632,39.49708189815902,7.57,ok
malaria_genes/HVR_3,"[""Biological"", ""Genetic"", ""Metadata"", ""Multilayer"", ""Projection"", ""Unweighted""]",18,55,baseline,58,0.1613223774397793,0.005264308610011523,22.07491287873813,0.0,ok
malaria_genes/HVR_3,"[""Biological"", ""Genetic"", ""Metadata"", ""Multilayer"", ""Projection"", ""Unweighted""]",18,55,"edge_relaxation(kr=0.1,kw=0.05)",50,0.10428713979605066,0.005526626712844151,16.52598876728245,0.26,ok
marvel_partnerships,"[""Fictional"", ""Social"", ""Unweighted""]",181,224,baseline,18,0.03603469826770177,0.00041036012320162004,46.54237930562773,0.12,ok
marvel_partnerships,"[""Fictional"", ""Social"", ""Unweighted""]",181,224,"edge_relaxation(kr=0.1,kw=0.05)",10,0.029724379072698492,0.0009110479657462996,49.826153482456604,7.5,ok
mist/ppi_zebrafish,"[""Biological"", ""Protein interactions"", ""Unweighted""]",197,225,baseline,8,0.09704228299312917,0.0017457516826213284,38.27222444562559,0.14,ok
