graph,tags,nodes,edges,algorithm,crossings,mean_edge_length,edge_length_var,path_continuity,runtime_s,status
fullerene_structures/C540,"[""Biological"", ""Chemical"", ""Spatial"", ""Unweighted""]",540,810,collapse_repair,250,0.051143688990084354,0.0002935784381350924,60.59124402711321,11.88,ok
ugandan_village/friendship-1,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",202,547,collapse_repair,5234,0.1512533693931659,0.013497229458311898,80.21186253060365,5.44,ok
ugandan_village/friendship-6,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",139,632,collapse_repair,14366,0.19027024962512717,0.01372735539285447,76.09420691271286,8.33,ok
ugandan_village/friendship-2,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",181,688,collapse_repair,16013,0.15337091210107193,0.009571273502250604,76.08723548937343,10.74,ok
ugandan_village/friendship-5,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",184,720,collapse_repair,15220,0.12227610113262356,0.006853546182451329,75.28345963392114,11.36,ok
ugandan_village/friendship-7,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",121,770,collapse_repair,23814,0.19356763957686474,0.015165225215478268,80.02553541805656,9.9,ok
ugandan_village/friendship-17,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",65,257,collapse_repair,2055,0.20625487937603226,0.014818261214218033,69.58361339866973,2.13,ok
ugandan_village/friendship-15,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",120,274,collapse_repair,1361,0.16874099711814408,0.0187099884739914,69.90076027429227,3.64,ok
ugandan_village/friendship-14,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",124,525,collapse_repair,9634,0.17070886852334688,0.011703015034780124,78.2061102774801,6.27,ok
ugandan_village/friendship-13,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",183,809,collapse_repair,24944,0.1975365145687697,0.014915925785586249,80.84088340673347,13.03,ok
ugandan_village/friendship-12,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",229,872,collapse_repair,23609,0.14711351792436494,0.008937131271491195,73.9820208662541,16.23,ok
ugandan_village/health-advice_1,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",187,431,collapse_repair,3511,0.14391304374676633,0.010610139967295184,64.98845146086572,7.13,ok
ugandan_village/health-advice_2,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",170,394,collapse_repair,3019,0.16384955446888352,0.010745575278822044,65.96490950540411,6.04,ok
ugandan_village/health-advice_5,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",166,386,collapse_repair,2555,0.1331054468455355,0.010156652689411828,67.0112813244926,5.71,ok
ugandan_village/health-advice_6,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",131,284,collapse_repair,1486,0.16705870351203878,0.013425769439418941,64.22649103241379,3.69,ok
ugandan_village/health-advice_3,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",185,638,collapse_repair,12950,0.1528271818565103,0.010019836260840171,68.14151811178408,9.69,ok
ugandan_village/health-advice_7,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",121,473,collapse_repair,8478,0.19991975405545248,0.014577771821156426,73.7630683010429,4.68,ok
ugandan_village/health-advice_14,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",120,326,collapse_repair,2297,0.17176508650781247,0.012473594490375425,71.66730771550907,4.2,ok
ugandan_village/health-advice_13,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",157,286,collapse_repair,857,0.1368022869139202,0.0156435256615132,66.26600898841988,4.63,ok
