Algorithm:  edge_relaxation_embeddedness(kr=0.1,kw=0.05)
Dataset:    75 graphs
Workers:    1  (sequential)
Output:     /mnt/c/Users/hanvi/Documents/Graph Drawing AMA Han Virgili Javier Badesa/graph-drawing-AMA/data/results/edge_relaxation_embeddedness.csv

[55/75] ugandan_village/health-advice_9 (173v, 623e)
    crossings=11755  edge_len=0.1016  continuity=67.19°  (166.65s)
[56/75] ugandan_village/health-advice_10 (204v, 820e)
    crossings=20605  edge_len=0.1276  continuity=70.75°  (250.89s)
[57/75] ugandan_village/health-advice_11 (234v, 527e)
    crossings=4647  edge_len=0.0929  continuity=63.65°  (104.19s)
[58/75] ugandan_village/health-advice_12 (218v, 534e)
    crossings=5877  edge_len=0.1398  continuity=70.40°  (99.28s)
[59/75] ugandan_village/health-advice_13 (157v, 286e)
    crossings=1013  edge_len=0.1136  continuity=64.45°  (35.65s)
[60/75] ugandan_village/health-advice_14 (120v, 326e)
    crossings=2124  edge_len=0.1101  continuity=70.70°  (44.17s)
[61/75] ugandan_village/health-advice_15 (117v, 196e)
    crossings=299  edge_len=0.0974  continuity=55.66°  (6.8s)
[62/75] ugandan_village/health-advice_16 (349v, 862e)
    crossings=16983  edge_len=0.1289  continuity=64.54°  (141.12s)
[63/75] ugandan_village/health-advice_17 (63v, 146e)
    crossings=418  edge_len=0.1642  continuity=59.30°  (4.74s)
[64/75] urban_streets/bologna (541v, 771e)
    crossings=5  edge_len=0.0242  continuity=47.80°  (265.97s)
[65/75] urban_streets/brasilia (179v, 230e)
    crossings=4  edge_len=0.0428  continuity=46.90°  (9.43s)
[66/75] urban_streets/irvine2 (178v, 189e)
    crossings=1  edge_len=0.0422  continuity=44.74°  (10.14s)
[67/75] urban_streets/london (488v, 729e)
    crossings=4  edge_len=0.0293  continuity=48.54°  (56.8s)
[68/75] urban_streets/los-angeles (240v, 339e)
    crossings=6  edge_len=0.0415  continuity=48.14°  (19.88s)
[69/75] urban_streets/new-delhi (252v, 328e)
    crossings=1  edge_len=0.0367  continuity=49.43°  (11.27s)
[70/75] urban_streets/new-york (248v, 418e)
    crossings=56  edge_len=0.0457  continuity=44.21°  (19.61s)
[71/75] urban_streets/savannah (584v, 958e)
    crossings=2  edge_len=0.0230  continuity=45.35°  (157.48s)
[72/75] urban_streets/vienna (467v, 691e)
    crossings=5  edge_len=0.0355  continuity=48.82°  (70.05s)
[73/75] urban_streets/walnut-creek (169v, 196e)
    crossings=1  edge_len=0.0414  continuity=49.75°  (6.33s)
[74/75] windsurfers (43v, 336e)
    crossings=4030  edge_len=0.1928  continuity=28.40°  (29.44s)
[75/75] zebras (23v, 105e)
    crossings=471  edge_len=0.1452  continuity=29.99°  (6.07s)

Results saved to: /mnt/c/Users/hanvi/Documents/Graph Drawing AMA Han Virgili Javier Badesa/graph-drawing-AMA/data/results/edge_relaxation_embeddedness.csv
