Algorithm:  edge_relaxation_stress(kr=0.1,kw=0.05)
Dataset:    75 graphs
Workers:    1  (sequential)
Output:     /mnt/c/Users/hanvi/Documents/Graph Drawing AMA Han Virgili Javier Badesa/graph-drawing-AMA/data/results/edge_relaxation_stress.csv

[55/75] ugandan_village/health-advice_9 (173v, 623e)
    crossings=11971  edge_len=0.1062  continuity=63.99°  (95.3s)
[56/75] ugandan_village/health-advice_10 (204v, 820e)
    crossings=21527  edge_len=0.1178  continuity=70.60°  (77.41s)
[57/75] ugandan_village/health-advice_11 (234v, 527e)
    crossings=4746  edge_len=0.1105  continuity=62.93°  (44.47s)
[58/75] ugandan_village/health-advice_12 (218v, 534e)
    crossings=5956  edge_len=0.0942  continuity=70.25°  (50.34s)
[59/75] ugandan_village/health-advice_13 (157v, 286e)
    crossings=1014  edge_len=0.0982  continuity=64.51°  (21.01s)
[60/75] ugandan_village/health-advice_14 (120v, 326e)
    crossings=2266  edge_len=0.1464  continuity=67.75°  (22.09s)
[61/75] ugandan_village/health-advice_15 (117v, 196e)
    crossings=301  edge_len=0.0961  continuity=55.13°  (9.96s)
[62/75] ugandan_village/health-advice_16 (349v, 862e)
    crossings=16760  edge_len=0.1059  continuity=66.00°  (257.47s)
[63/75] ugandan_village/health-advice_17 (63v, 146e)
    crossings=391  edge_len=0.1508  continuity=60.04°  (2.55s)
[64/75] urban_streets/bologna (541v, 771e)
    crossings=5  edge_len=0.0238  continuity=47.92°  (278.35s)
[65/75] urban_streets/brasilia (179v, 230e)
    crossings=3  edge_len=0.0394  continuity=47.18°  (20.06s)
[66/75] urban_streets/irvine2 (178v, 189e)
    crossings=1  edge_len=0.0402  continuity=45.14°  (9.97s)
[67/75] urban_streets/london (488v, 729e)
    crossings=3  edge_len=0.0302  continuity=48.90°  (80.32s)
[68/75] urban_streets/los-angeles (240v, 339e)
    crossings=6  edge_len=0.0428  continuity=48.35°  (16.72s)
[69/75] urban_streets/new-delhi (252v, 328e)
    crossings=1  edge_len=0.0367  continuity=49.55°  (12.19s)
[70/75] urban_streets/new-york (248v, 418e)
    crossings=34  edge_len=0.0503  continuity=43.66°  (17.96s)
[71/75] urban_streets/savannah (584v, 958e)
    crossings=2  edge_len=0.0230  continuity=45.49°  (162.44s)
[72/75] urban_streets/vienna (467v, 691e)
    crossings=4  edge_len=0.0354  continuity=48.70°  (66.58s)
[73/75] urban_streets/walnut-creek (169v, 196e)
    crossings=1  edge_len=0.0387  continuity=50.05°  (7.7s)
[74/75] windsurfers (43v, 336e)
    crossings=4100  edge_len=0.2229  continuity=29.46°  (12.67s)
[75/75] zebras (23v, 105e)
    crossings=538  edge_len=0.1154  continuity=34.20°  (1.57s)

Results saved to: /mnt/c/Users/hanvi/Documents/Graph Drawing AMA Han Virgili Javier Badesa/graph-drawing-AMA/data/results/edge_relaxation_stress.csv
