Algorithm:  edge_relaxation_crossing(kr=0.1,kw=0.05)
Dataset:    75 graphs
Workers:    1  (sequential)
Output:     /mnt/c/Users/hanvi/Documents/Graph Drawing AMA Han Virgili Javier Badesa/graph-drawing-AMA/data/results/edge_relaxation_crossing.csv

[55/75] ugandan_village/health-advice_9 (173v, 623e)
    crossings=11899  edge_len=0.1617  continuity=64.16°  (74.04s)
[56/75] ugandan_village/health-advice_10 (204v, 820e)
    crossings=21401  edge_len=0.1235  continuity=69.36°  (161.75s)
[57/75] ugandan_village/health-advice_11 (234v, 527e)
    crossings=4802  edge_len=0.1069  continuity=63.90°  (60.55s)
[58/75] ugandan_village/health-advice_12 (218v, 534e)
    crossings=5777  edge_len=0.1403  continuity=69.70°  (66.29s)
[59/75] ugandan_village/health-advice_13 (157v, 286e)
    crossings=942  edge_len=0.1285  continuity=64.41°  (26.36s)
[60/75] ugandan_village/health-advice_14 (120v, 326e)
    crossings=2365  edge_len=0.1410  continuity=67.20°  (14.2s)
[61/75] ugandan_village/health-advice_15 (117v, 196e)
    crossings=301  edge_len=0.1165  continuity=54.65°  (8.55s)
[62/75] ugandan_village/health-advice_16 (349v, 862e)
    crossings=17096  edge_len=0.1271  continuity=64.30°  (153.92s)
[63/75] ugandan_village/health-advice_17 (63v, 146e)
    crossings=400  edge_len=0.1540  continuity=58.42°  (4.17s)
[64/75] urban_streets/bologna (541v, 771e)
    crossings=6  edge_len=0.0244  continuity=47.77°  (141.55s)
[65/75] urban_streets/brasilia (179v, 230e)
    crossings=4  edge_len=0.0435  continuity=46.74°  (8.27s)
[66/75] urban_streets/irvine2 (178v, 189e)
    crossings=2  edge_len=0.0419  continuity=45.16°  (7.7s)
[67/75] urban_streets/london (488v, 729e)
    crossings=4  edge_len=0.0296  continuity=48.67°  (83.71s)
[68/75] urban_streets/los-angeles (240v, 339e)
    crossings=6  edge_len=0.0423  continuity=48.36°  (18.97s)
[69/75] urban_streets/new-delhi (252v, 328e)
    crossings=1  edge_len=0.0370  continuity=49.67°  (14.55s)
[70/75] urban_streets/new-york (248v, 418e)
    crossings=35  edge_len=0.0526  continuity=44.14°  (20.63s)
[71/75] urban_streets/savannah (584v, 958e)
    crossings=0  edge_len=0.0230  continuity=45.38°  (274.23s)
[72/75] urban_streets/vienna (467v, 691e)
    crossings=5  edge_len=0.0364  continuity=48.81°  (122.11s)
[73/75] urban_streets/walnut-creek (169v, 196e)
    crossings=3  edge_len=0.0421  continuity=49.69°  (8.77s)
[74/75] windsurfers (43v, 336e)
    crossings=4148  edge_len=0.2198  continuity=33.01°  (19.7s)
[75/75] zebras (23v, 105e)
    crossings=555  edge_len=0.1791  continuity=29.80°  (1.84s)

Results saved to: /mnt/c/Users/hanvi/Documents/Graph Drawing AMA Han Virgili Javier Badesa/graph-drawing-AMA/data/results/edge_relaxation_crossing.csv
