graph,tags,nodes,edges,algorithm,crossings,mean_edge_length,edge_length_var,path_continuity,runtime_s,status
mist/genetic_mouse,"[""Biological"", ""Protein interactions"", ""Unweighted""]",214,252,"edge_relaxation_fiedler(kr=0.1,kw=0.05)",9,0.034529508073532514,0.0006399265522756988,48.84455068148331,12.32,ok
montreal,"[""Affiliation"", ""Social"", ""Unweighted""]",29,75,"edge_relaxation_fiedler(kr=0.1,kw=0.05)",145,0.15866906296996644,0.006611835901487906,50.53048514537329,1.19,ok
new_guinea_tribes,"[""Offline"", ""Signed"", ""Social""]",16,58,"edge_relaxation_fiedler(kr=0.1,kw=0.05)",86,0.27856187519438946,0.019153743913863434,16.512012572381966,0.44,ok
november17,"[""Metadata"", ""Offline"", ""Social"", ""Unweighted""]",22,66,"edge_relaxation_fiedler(kr=0.1,kw=0.05)",90,0.20818989112003475,0.014667643224431322,32.589729961281854,-0.43,ok
plant_pol_vazquez/All sites pooled,"[""Biological"", ""Food web"", ""Multilayer"", ""Weighted""]",104,164,"edge_relaxation_fiedler(kr=0.1,kw=0.05)",215,0.12173745511118564,0.0018139301279555414,54.359909845918374,2.07,ok
polbooks,"[""Informational"", ""Metadata"", ""Relatedness"", ""Unweighted""]",105,441,"edge_relaxation_fiedler(kr=0.1,kw=0.05)",2359,0.08941148964703748,0.0034246457080787983,42.0326009882527,39.66,ok
revolution,"[""Affiliation"", ""Social"", ""Unweighted""]",141,160,"edge_relaxation_fiedler(kr=0.1,kw=0.05)",5,0.13519823189043173,0.0038334258459504222,35.80570470684456,7.96,ok
terrorists_911,"[""Metadata"", ""Offline"", ""Social"", ""Unweighted""]",62,152,"edge_relaxation_fiedler(kr=0.1,kw=0.05)",159,0.1006930250535021,0.0030923637822969576,48.25488498597409,2.65,ok
train_terrorists,"[""Offline"", ""Social"", ""Weighted""]",64,243,"edge_relaxation_fiedler(kr=0.1,kw=0.05)",904,0.07418825417402627,0.0022802382720249806,39.541746863900265,8.9,ok
ugandan_village/friendship-1,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",202,547,"edge_relaxation_fiedler(kr=0.1,kw=0.05)",6447,0.11822219365634262,0.004241664641046438,76.66221248576207,145.48,ok
