graph,tags,nodes,edges,algorithm,crossings,mean_edge_length,edge_length_var,path_continuity,runtime_s,status
ugandan_village/friendship-1,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",202,547,cf_cross_sep,5100,0.14673598341540645,0.011433591819352742,78.36702587660153,52.4,ok
fullerene_structures/C540,"[""Biological"", ""Chemical"", ""Spatial"", ""Unweighted""]",540,810,cf_cross_sep,245,0.049095765160818296,0.0001434932761696733,60.467095290614736,114.32,ok
ugandan_village/friendship-2,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",181,688,cf_cross_sep,13377,0.14818403969230864,0.008909929198132403,82.41634467995651,61.75,ok
ugandan_village/friendship-6,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",139,632,cf_cross_sep,12288,0.17033192526233942,0.011676781317114202,79.88784660657177,51.69,ok
ugandan_village/friendship-5,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",184,720,cf_cross_sep,13265,0.1363652505088095,0.008259831910256279,82.65788062821498,69.53,ok
ugandan_village/friendship-17,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",65,257,cf_cross_sep,1622,0.16122546624328316,0.010352743556593966,68.02400458764373,14.95,ok
ugandan_village/friendship-15,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",120,274,cf_cross_sep,958,0.13760571226174326,0.009270569401540932,71.97535296595827,26.97,ok
ugandan_village/friendship-7,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",121,770,cf_cross_sep,26467,0.18311766578276317,0.010806100714560358,93.03144717578125,67.85,ok
ugandan_village/friendship-14,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",124,525,cf_cross_sep,6939,0.16461886887267,0.010805123842815524,83.79678902586848,43.49,ok
ugandan_village/health-advice_2,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",170,394,cf_cross_sep,2095,0.13661944962163142,0.009551063543299255,72.1439175415037,37.43,ok
ugandan_village/health-advice_1,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",187,431,cf_cross_sep,2600,0.13201363058644125,0.010321369353407949,72.18966089609752,44.05,ok
ugandan_village/health-advice_5,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",166,386,cf_cross_sep,1947,0.14296433129458447,0.008698898521840552,69.68711167037608,36.31,ok
ugandan_village/friendship-13,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",183,809,cf_cross_sep,21280,0.18076522864850264,0.014553428791937979,88.56008325577565,84.57,ok
ugandan_village/health-advice_6,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",131,284,cf_cross_sep,930,0.16807368496200617,0.01220535817479436,66.20277433880182,23.91,ok
ugandan_village/friendship-12,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",229,872,cf_cross_sep,21339,0.14685397265686478,0.009444228496523138,84.13084468544295,107.11,ok
ugandan_village/health-advice_3,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",185,638,cf_cross_sep,11157,0.1594465427832924,0.009267377573602355,82.25579127797872,62.3,ok
ugandan_village/health-advice_7,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",121,473,cf_cross_sep,6580,0.1774180178091583,0.01323781362001675,81.32622547362122,34.56,ok
ugandan_village/health-advice_14,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",120,326,cf_cross_sep,1662,0.1386907507329298,0.009951306452183293,75.15597019458858,25.27,ok
