Algorithm:  edge_relaxation_fiedler(kr=0.1,kw=0.05)
Dataset:    75 graphs
Workers:    1  (sequential)
Output:     /mnt/c/Users/hanvi/Documents/Graph Drawing AMA Han Virgili Javier Badesa/graph-drawing-AMA/data/results/edge_relaxation_fiedler.csv

[55/75] ugandan_village/health-advice_9 (173v, 623e)
    crossings=11837  edge_len=0.0919  continuity=63.35°  (91.39s)
[56/75] ugandan_village/health-advice_10 (204v, 820e)
    crossings=20645  edge_len=0.1240  continuity=70.30°  (165.81s)
[57/75] ugandan_village/health-advice_11 (234v, 527e)
    crossings=4807  edge_len=0.1108  continuity=64.84°  (50.64s)
[58/75] ugandan_village/health-advice_12 (218v, 534e)
    crossings=5832  edge_len=0.1096  continuity=71.77°  (104.49s)
[59/75] ugandan_village/health-advice_13 (157v, 286e)
    crossings=1027  edge_len=0.0814  continuity=63.48°  (57.94s)
[60/75] ugandan_village/health-advice_14 (120v, 326e)
    crossings=2167  edge_len=0.1053  continuity=69.23°  (74.97s)
[61/75] ugandan_village/health-advice_15 (117v, 196e)
    crossings=318  edge_len=0.1007  continuity=55.28°  (12.82s)
[62/75] ugandan_village/health-advice_16 (349v, 862e)
    crossings=16435  edge_len=0.0783  continuity=66.25°  (466.06s)
[63/75] ugandan_village/health-advice_17 (63v, 146e)
    crossings=367  edge_len=0.1224  continuity=58.06°  (4.38s)
[64/75] urban_streets/bologna (541v, 771e)
    crossings=6  edge_len=0.0247  continuity=47.78°  (90.44s)
[65/75] urban_streets/brasilia (179v, 230e)
    crossings=3  edge_len=0.0352  continuity=46.57°  (6.8s)
[66/75] urban_streets/irvine2 (178v, 189e)
    crossings=1  edge_len=0.0376  continuity=44.77°  (3.88s)
[67/75] urban_streets/london (488v, 729e)
    crossings=3  edge_len=0.0285  continuity=48.66°  (47.98s)
[68/75] urban_streets/los-angeles (240v, 339e)
    crossings=6  edge_len=0.0411  continuity=48.33°  (10.54s)
[69/75] urban_streets/new-delhi (252v, 328e)
    crossings=1  edge_len=0.0349  continuity=49.45°  (8.33s)
[70/75] urban_streets/new-york (248v, 418e)
    crossings=53  edge_len=0.0473  continuity=44.94°  (19.52s)
[71/75] urban_streets/savannah (584v, 958e)
    crossings=2  edge_len=0.0227  continuity=45.36°  (85.29s)
[72/75] urban_streets/vienna (467v, 691e)
    crossings=3  edge_len=0.0356  continuity=48.73°  (66.23s)
[73/75] urban_streets/walnut-creek (169v, 196e)
    crossings=1  edge_len=0.0415  continuity=49.68°  (5.47s)
[74/75] windsurfers (43v, 336e)
    crossings=4092  edge_len=0.2293  continuity=29.27°  (11.69s)
[75/75] zebras (23v, 105e)
    crossings=521  edge_len=0.1365  continuity=38.64°  (1.46s)

Results saved to: /mnt/c/Users/hanvi/Documents/Graph Drawing AMA Han Virgili Javier Badesa/graph-drawing-AMA/data/results/edge_relaxation_fiedler.csv
