Algorithm:  edge_relaxation_community(kr=0.1,kw=0.05)
Dataset:    75 graphs
Workers:    1  (sequential)
Output:     /mnt/c/Users/hanvi/Documents/Graph Drawing AMA Han Virgili Javier Badesa/graph-drawing-AMA/data/results/edge_relaxation_community.csv

[55/75] ugandan_village/health-advice_9 (173v, 623e)
    crossings=12104  edge_len=0.1401  continuity=64.58°  (64.15s)
[56/75] ugandan_village/health-advice_10 (204v, 820e)
    crossings=20858  edge_len=0.1237  continuity=71.96°  (165.68s)
[57/75] ugandan_village/health-advice_11 (234v, 527e)
    crossings=4631  edge_len=0.1010  continuity=67.72°  (72.6s)
[58/75] ugandan_village/health-advice_12 (218v, 534e)
    crossings=5991  edge_len=0.1139  continuity=71.97°  (63.06s)
[59/75] ugandan_village/health-advice_13 (157v, 286e)
    crossings=1011  edge_len=0.1099  continuity=66.84°  (16.58s)
[60/75] ugandan_village/health-advice_14 (120v, 326e)
    crossings=2137  edge_len=0.1490  continuity=72.37°  (39.29s)
[61/75] ugandan_village/health-advice_15 (117v, 196e)
    crossings=296  edge_len=0.1164  continuity=57.35°  (8.75s)
[62/75] ugandan_village/health-advice_16 (349v, 862e)
    crossings=17080  edge_len=0.1123  continuity=65.38°  (110.38s)
[63/75] ugandan_village/health-advice_17 (63v, 146e)
    crossings=384  edge_len=0.1733  continuity=60.69°  (9.48s)
[64/75] urban_streets/bologna (541v, 771e)
    crossings=6  edge_len=0.0245  continuity=47.86°  (133.86s)
[65/75] urban_streets/brasilia (179v, 230e)
    crossings=3  edge_len=0.0379  continuity=46.81°  (9.36s)
[66/75] urban_streets/irvine2 (178v, 189e)
    crossings=1  edge_len=0.0371  continuity=45.02°  (5.14s)
[67/75] urban_streets/london (488v, 729e)
    crossings=3  edge_len=0.0296  continuity=48.56°  (95.56s)
[68/75] urban_streets/los-angeles (240v, 339e)
    crossings=7  edge_len=0.0427  continuity=48.46°  (15.2s)
[69/75] urban_streets/new-delhi (252v, 328e)
    crossings=1  edge_len=0.0372  continuity=50.03°  (16.7s)
[70/75] urban_streets/new-york (248v, 418e)
    crossings=35  edge_len=0.0461  continuity=44.71°  (55.41s)
[71/75] urban_streets/savannah (584v, 958e)
    crossings=2  edge_len=0.0231  continuity=45.42°  (248.27s)
[72/75] urban_streets/vienna (467v, 691e)
    crossings=4  edge_len=0.0368  continuity=48.77°  (69.16s)
[73/75] urban_streets/walnut-creek (169v, 196e)
    crossings=0  edge_len=0.0388  continuity=51.79°  (22.29s)
[74/75] windsurfers (43v, 336e)
    crossings=4137  edge_len=0.2248  continuity=31.55°  (9.83s)
[75/75] zebras (23v, 105e)
    crossings=511  edge_len=0.1165  continuity=36.18°  (2.78s)

Results saved to: /mnt/c/Users/hanvi/Documents/Graph Drawing AMA Han Virgili Javier Badesa/graph-drawing-AMA/data/results/edge_relaxation_community.csv
