Algorithm:  edge_relaxation_adaptive(kr=0.1,kw=0.05,k=10)
Dataset:    75 graphs
Workers:    1  (sequential)
Output:     /mnt/c/Users/hanvi/Documents/Graph Drawing AMA Han Virgili Javier Badesa/graph-drawing-AMA/data/results/edge_relaxation_adaptive.csv

[55/75] ugandan_village/health-advice_9 (173v, 623e)
    crossings=11950  edge_len=0.1556  continuity=63.76°  (66.53s)
[56/75] ugandan_village/health-advice_10 (204v, 820e)
    crossings=21260  edge_len=0.1344  continuity=69.89°  (172.14s)
[57/75] ugandan_village/health-advice_11 (234v, 527e)
    crossings=4614  edge_len=0.1238  continuity=64.16°  (103.17s)
[58/75] ugandan_village/health-advice_12 (218v, 534e)
    crossings=5880  edge_len=0.1387  continuity=69.43°  (75.4s)
[59/75] ugandan_village/health-advice_13 (157v, 286e)
    crossings=948  edge_len=0.1218  continuity=64.57°  (52.07s)
[60/75] ugandan_village/health-advice_14 (120v, 326e)
    crossings=2324  edge_len=0.1354  continuity=68.69°  (32.02s)
[61/75] ugandan_village/health-advice_15 (117v, 196e)
    crossings=298  edge_len=0.1210  continuity=55.33°  (10.32s)
[62/75] ugandan_village/health-advice_16 (349v, 862e)
    crossings=16936  edge_len=0.1229  continuity=64.30°  (225.86s)
[63/75] ugandan_village/health-advice_17 (63v, 146e)
    crossings=400  edge_len=0.1540  continuity=58.42°  (4.46s)
[64/75] urban_streets/bologna (541v, 771e)
    crossings=6  edge_len=0.0244  continuity=47.77°  (242.51s)
[65/75] urban_streets/brasilia (179v, 230e)
    crossings=4  edge_len=0.0435  continuity=46.74°  (12.43s)
[66/75] urban_streets/irvine2 (178v, 189e)
    crossings=1  edge_len=0.0419  continuity=45.66°  (14.57s)
[67/75] urban_streets/london (488v, 729e)
    crossings=4  edge_len=0.0296  continuity=48.67°  (85.76s)
[68/75] urban_streets/los-angeles (240v, 339e)
    crossings=6  edge_len=0.0423  continuity=48.36°  (12.3s)
[69/75] urban_streets/new-delhi (252v, 328e)
    crossings=1  edge_len=0.0370  continuity=49.67°  (20.74s)
[70/75] urban_streets/new-york (248v, 418e)
    crossings=35  edge_len=0.0526  continuity=44.14°  (24.33s)
[71/75] urban_streets/savannah (584v, 958e)
    crossings=0  edge_len=0.0230  continuity=45.38°  (219.24s)
[72/75] urban_streets/vienna (467v, 691e)
    crossings=5  edge_len=0.0364  continuity=48.81°  (63.27s)
[73/75] urban_streets/walnut-creek (169v, 196e)
    crossings=3  edge_len=0.0421  continuity=49.69°  (5.48s)
[74/75] windsurfers (43v, 336e)
    crossings=4152  edge_len=0.2153  continuity=29.42°  (10.79s)
[75/75] zebras (23v, 105e)
    crossings=561  edge_len=0.1613  continuity=27.40°  (2.52s)

Results saved to: /mnt/c/Users/hanvi/Documents/Graph Drawing AMA Han Virgili Javier Badesa/graph-drawing-AMA/data/results/edge_relaxation_adaptive.csv
