Algorithm:  edge_relaxation_angular(kr=0.1,kw=0.05)
Dataset:    75 graphs
Workers:    1  (sequential)
Output:     /mnt/c/Users/hanvi/Documents/Graph Drawing AMA Han Virgili Javier Badesa/graph-drawing-AMA/data/results/edge_relaxation_angular.csv

[55/75] ugandan_village/health-advice_9 (173v, 623e)
    crossings=11686  edge_len=0.1504  continuity=65.21°  (46.0s)
[56/75] ugandan_village/health-advice_10 (204v, 820e)
    crossings=20600  edge_len=0.1179  continuity=69.32°  (92.88s)
[57/75] ugandan_village/health-advice_11 (234v, 527e)
    crossings=4836  edge_len=0.1099  continuity=63.11°  (38.24s)
[58/75] ugandan_village/health-advice_12 (218v, 534e)
    crossings=6090  edge_len=0.1306  continuity=72.07°  (38.94s)
[59/75] ugandan_village/health-advice_13 (157v, 286e)
    crossings=1084  edge_len=0.1191  continuity=62.09°  (9.72s)
[60/75] ugandan_village/health-advice_14 (120v, 326e)
    crossings=2331  edge_len=0.1512  continuity=68.43°  (20.26s)
[61/75] ugandan_village/health-advice_15 (117v, 196e)
    crossings=341  edge_len=0.1175  continuity=54.17°  (4.42s)
[62/75] ugandan_village/health-advice_16 (349v, 862e)
    crossings=16942  edge_len=0.1184  continuity=65.01°  (95.89s)
[63/75] ugandan_village/health-advice_17 (63v, 146e)
    crossings=423  edge_len=0.1653  continuity=62.17°  (2.22s)
[64/75] urban_streets/bologna (541v, 771e)
    crossings=6  edge_len=0.0246  continuity=47.78°  (127.86s)
[65/75] urban_streets/brasilia (179v, 230e)
    crossings=4  edge_len=0.0427  continuity=47.43°  (6.48s)
[66/75] urban_streets/irvine2 (178v, 189e)
    crossings=1  edge_len=0.0360  continuity=44.88°  (7.41s)
[67/75] urban_streets/london (488v, 729e)
    crossings=3  edge_len=0.0305  continuity=48.71°  (71.67s)
[68/75] urban_streets/los-angeles (240v, 339e)
    crossings=6  edge_len=0.0439  continuity=48.36°  (21.69s)
[69/75] urban_streets/new-delhi (252v, 328e)
    crossings=0  edge_len=0.0324  continuity=49.53°  (18.86s)
[70/75] urban_streets/new-york (248v, 418e)
    crossings=44  edge_len=0.0475  continuity=44.56°  (23.24s)
[71/75] urban_streets/savannah (584v, 958e)
    crossings=2  edge_len=0.0233  continuity=45.35°  (128.77s)
[72/75] urban_streets/vienna (467v, 691e)
    crossings=5  edge_len=0.0364  continuity=48.73°  (52.97s)
[73/75] urban_streets/walnut-creek (169v, 196e)
    crossings=2  edge_len=0.0420  continuity=50.12°  (7.47s)
[74/75] windsurfers (43v, 336e)
    crossings=3998  edge_len=0.2360  continuity=31.65°  (22.13s)
[75/75] zebras (23v, 105e)
    crossings=536  edge_len=0.1875  continuity=27.77°  (3.73s)

Results saved to: /mnt/c/Users/hanvi/Documents/Graph Drawing AMA Han Virgili Javier Badesa/graph-drawing-AMA/data/results/edge_relaxation_angular.csv
