Algorithm:  edge_relaxation_currentflow(kr=0.1,kw=0.05)
Dataset:    75 graphs
Workers:    1  (sequential)
Output:     /mnt/c/Users/hanvi/Documents/Graph Drawing AMA Han Virgili Javier Badesa/graph-drawing-AMA/data/results/edge_relaxation_currentflow.csv

[55/75] ugandan_village/health-advice_9 (173v, 623e)
    crossings=11822  edge_len=0.1069  continuity=64.56°  (112.24s)
[56/75] ugandan_village/health-advice_10 (204v, 820e)
    crossings=20151  edge_len=0.0844  continuity=70.33°  (254.47s)
[57/75] ugandan_village/health-advice_11 (234v, 527e)
    crossings=4314  edge_len=0.0717  continuity=61.69°  (116.15s)
[58/75] ugandan_village/health-advice_12 (218v, 534e)
    crossings=5939  edge_len=0.1051  continuity=69.10°  (34.1s)
[59/75] ugandan_village/health-advice_13 (157v, 286e)
    crossings=893  edge_len=0.0957  continuity=62.03°  (28.5s)
[60/75] ugandan_village/health-advice_14 (120v, 326e)
    crossings=2063  edge_len=0.1115  continuity=67.75°  (22.94s)
[61/75] ugandan_village/health-advice_15 (117v, 196e)
    crossings=272  edge_len=0.0907  continuity=56.81°  (6.89s)
[62/75] ugandan_village/health-advice_16 (349v, 862e)
    crossings=15648  edge_len=0.0805  continuity=65.28°  (199.43s)
[63/75] ugandan_village/health-advice_17 (63v, 146e)
    crossings=377  edge_len=0.1237  continuity=61.53°  (2.3s)
[64/75] urban_streets/bologna (541v, 771e)
    crossings=4  edge_len=0.0241  continuity=48.37°  (193.67s)
[65/75] urban_streets/brasilia (179v, 230e)
    crossings=5  edge_len=0.0412  continuity=47.75°  (3.01s)
[66/75] urban_streets/irvine2 (178v, 189e)
    crossings=0  edge_len=0.0362  continuity=47.14°  (4.79s)
[67/75] urban_streets/london (488v, 729e)
    crossings=3  edge_len=0.0286  continuity=48.79°  (54.76s)
[68/75] urban_streets/los-angeles (240v, 339e)
    crossings=7  edge_len=0.0429  continuity=48.13°  (7.97s)
[69/75] urban_streets/new-delhi (252v, 328e)
    crossings=1  edge_len=0.0360  continuity=49.62°  (8.53s)
[70/75] urban_streets/new-york (248v, 418e)
    crossings=26  edge_len=0.0460  continuity=44.77°  (26.22s)
[71/75] urban_streets/savannah (584v, 958e)
    crossings=2  edge_len=0.0230  continuity=45.49°  (66.65s)
[72/75] urban_streets/vienna (467v, 691e)
    crossings=5  edge_len=0.0355  continuity=48.88°  (29.58s)
[73/75] urban_streets/walnut-creek (169v, 196e)
    crossings=1  edge_len=0.0428  continuity=50.97°  (4.7s)
[74/75] windsurfers (43v, 336e)
    crossings=4147  edge_len=0.2246  continuity=30.45°  (6.73s)
[75/75] zebras (23v, 105e)
    crossings=516  edge_len=0.1371  continuity=24.99°  (2.55s)

Results saved to: /mnt/c/Users/hanvi/Documents/Graph Drawing AMA Han Virgili Javier Badesa/graph-drawing-AMA/data/results/edge_relaxation_currentflow.csv
