graph,tags,nodes,edges,algorithm,crossings,mean_edge_length,edge_length_var,path_continuity,runtime_s,status
fullerene_structures/C500,"[""Biological"", ""Chemical"", ""Spatial"", ""Unweighted""]",500,750,currentflow_aesthetic,228,0.0509481119221919,0.000155633717563997,60.86591235031845,111.14,ok
fullerene_structures/C540,"[""Biological"", ""Chemical"", ""Spatial"", ""Unweighted""]",540,810,currentflow_aesthetic,242,0.04867658557051828,0.00014700593586821134,60.63931354664606,101.8,ok
ugandan_village/friendship-2,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",181,688,currentflow_aesthetic,13201,0.15083230151348734,0.008689931642552615,77.48368946200397,52.36,ok
ugandan_village/friendship-6,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",139,632,currentflow_aesthetic,12123,0.14103856253173527,0.008390206096666405,74.09455869721049,48.88,ok
ugandan_village/friendship-1,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",202,547,currentflow_aesthetic,5144,0.13667847735447702,0.010108694297355182,75.58417719398619,77.16,ok
ugandan_village/friendship-5,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",184,720,currentflow_aesthetic,12451,0.1381566942755142,0.009500588468556262,78.10905946526839,94.32,ok
ugandan_village/friendship-15,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",120,274,currentflow_aesthetic,990,0.1395466419781052,0.00888182870282726,69.22203055830174,27.19,ok
ugandan_village/friendship-17,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",65,257,currentflow_aesthetic,1624,0.1648247635806779,0.01031653336755908,68.51817552646015,19.65,ok
ugandan_village/friendship-14,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",124,525,currentflow_aesthetic,7094,0.13623122444301872,0.008769294895182767,76.54646705058043,75.23,ok
ugandan_village/friendship-7,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",121,770,currentflow_aesthetic,21893,0.1553647493301837,0.010209413598578361,78.48932904215985,91.24,ok
ugandan_village/friendship-13,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",183,809,currentflow_aesthetic,20330,0.15199914907790216,0.009611098346066207,82.56487140314253,103.85,ok
ugandan_village/health-advice_5,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",166,386,currentflow_aesthetic,2092,0.14741593844203893,0.007675539036149324,67.29322935379967,25.2,ok
ugandan_village/health-advice_1,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",187,431,currentflow_aesthetic,2668,0.12808386641355804,0.008177555358036537,67.81010191021548,64.52,ok
ugandan_village/health-advice_2,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",170,394,currentflow_aesthetic,2324,0.106474079501965,0.005718988973494321,63.82366921118884,54.7,ok
ugandan_village/friendship-12,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",229,872,currentflow_aesthetic,20163,0.10437936971757732,0.005204101954576645,77.89784940967454,131.29,ok
ugandan_village/health-advice_6,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",131,284,currentflow_aesthetic,1052,0.15215101723825772,0.009105289720151765,64.0086552888145,24.31,ok
ugandan_village/health-advice_3,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",185,638,currentflow_aesthetic,12116,0.1569764733453722,0.008513032630381227,72.50420722692857,51.2,ok
ugandan_village/health-advice_7,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",121,473,currentflow_aesthetic,6413,0.15642205076212315,0.009283689256101095,76.56484943338097,42.05,ok
ugandan_village/health-advice_13,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",157,286,currentflow_aesthetic,709,0.09866431579294616,0.004441965490141895,64.73812746001724,36.89,ok
ugandan_village/health-advice_12,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",218,534,currentflow_aesthetic,4544,0.15691486057397824,0.00909116466458951,72.91143759524779,47.35,ok
ugandan_village/health-advice_14,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",120,326,currentflow_aesthetic,1686,0.1441570012263706,0.009009048010572914,73.4916632680827,29.27,ok
ugandan_village/health-advice_15,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",117,196,currentflow_aesthetic,213,0.13804299959143576,0.008336491425102186,63.09174902899055,15.09,ok
ugandan_village/health-advice_17,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",63,146,currentflow_aesthetic,314,0.11937207359447428,0.0054850925228087,62.50837031147331,8.58,ok
urban_streets/brasilia,"[""Metadata"", ""Roads"", ""Transportation"", ""Unweighted""]",179,230,currentflow_aesthetic,4,0.04403693741429809,0.0001576576222701437,54.58708705214688,8.2,ok
urban_streets/irvine2,"[""Metadata"", ""Roads"", ""Transportation"", ""Unweighted""]",178,189,currentflow_aesthetic,0,0.04751920344125536,0.0002805977597502853,51.67653106097664,7.78,ok
ugandan_village/health-advice_9,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",173,623,currentflow_aesthetic,9391,0.11778126083557966,0.006171565502080979,65.61945534990483,103.09,ok
ugandan_village/health-advice_11,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",234,527,currentflow_aesthetic,3395,0.09905625833407991,0.0055394385545027664,65.60870581560728,110.88,ok
