graph,tags,nodes,edges,algorithm,crossings,mean_edge_length,edge_length_var,path_continuity,runtime_s,status
mist/genetic_mouse,"[""Biological"", ""Protein interactions"", ""Unweighted""]",214,252,"edge_relaxation_stress(kr=0.1,kw=0.05)",8,0.03180420415942043,0.000795029086712132,55.11172956437039,16.09,ok
revolution,"[""Affiliation"", ""Social"", ""Unweighted""]",141,160,"edge_relaxation_stress(kr=0.1,kw=0.05)",5,0.12642816716016347,0.005665709007473757,36.92120646597252,4.46,ok
terrorists_911,"[""Metadata"", ""Offline"", ""Social"", ""Unweighted""]",62,152,"edge_relaxation_stress(kr=0.1,kw=0.05)",154,0.09467239008567736,0.0030265390676629065,50.16705832154531,2.77,ok
train_terrorists,"[""Offline"", ""Social"", ""Weighted""]",64,243,"edge_relaxation_stress(kr=0.1,kw=0.05)",875,0.08389830053964306,0.0036928797212310736,39.775256056947846,8.06,ok
polbooks,"[""Informational"", ""Metadata"", ""Relatedness"", ""Unweighted""]",105,441,"edge_relaxation_stress(kr=0.1,kw=0.05)",2300,0.09198627494130679,0.003543577429759814,38.59269806665673,29.39,ok
london_transport,"[""Multilayer"", ""Public Transport"", ""Transportation"", ""Weighted""]",369,430,"edge_relaxation_stress(kr=0.1,kw=0.05)",34,0.028052919979320454,0.00026075994989094173,40.54915969658341,74.99,ok
ugandan_village/friendship-1,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",202,547,"edge_relaxation_stress(kr=0.1,kw=0.05)",7224,0.13195511582283398,0.0028105029199603955,74.42363334455503,32.65,ok
ugandan_village/friendship-2,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",181,688,"edge_relaxation_stress(kr=0.1,kw=0.05)",16264,0.09604963619484283,0.0023242243038088823,75.86558708217487,61.4,ok
ugandan_village/friendship-6,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",139,632,"edge_relaxation_stress(kr=0.1,kw=0.05)",15237,0.12291560707872269,0.003344972857524986,71.08038217893169,36.18,ok
fullerene_structures/C500,"[""Biological"", ""Chemical"", ""Spatial"", ""Unweighted""]",500,750,"edge_relaxation_stress(kr=0.1,kw=0.05)",239,0.051362472561000266,5.575621073919303e-05,60.456985037280994,169.44,ok
ugandan_village/friendship-5,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",184,720,"edge_relaxation_stress(kr=0.1,kw=0.05)",15754,0.0892229787601892,0.002338965810735968,74.6033948952596,66.27,ok
ugandan_village/friendship-15,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",120,274,"edge_relaxation_stress(kr=0.1,kw=0.05)",1398,0.12476762036912589,0.0018995822014230986,65.97120606235158,9.33,ok
ugandan_village/friendship-17,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",65,257,"edge_relaxation_stress(kr=0.1,kw=0.05)",2182,0.15627500738276107,0.004666093762500015,62.20544994575826,5.76,ok
